,Symbol,Apparitions,Percentage
0,I,2,0.30721966205837176
1,n,34,5.22273425499232
2, ,126,19.35483870967742
3,m,8,1.228878648233487
4,a,48,7.373271889400922
5,t,39,5.990783410138248
6,h,21,3.225806451612903
7,e,56,8.60215053763441
8,i,38,5.837173579109063
9,c,16,2.457757296466974
10,s,47,7.2196620583717355
11,",",13,1.9969278033794162
12,g,2,0.30721966205837176
13,r,31,4.761904761904762
14,p,12,1.8433179723502304
15,o,40,6.1443932411674345
16,f,26,3.9938556067588324
17,u,14,2.1505376344086025
18,d,12,1.8433179723502304
19,(,7,1.0752688172043012
20,x,7,1.0752688172043012
21,y,6,0.9216589861751152
22,),7,1.0752688172043012
23,w,6,0.9216589861751152
24,=,1,0.15360983102918588
25,.,4,0.6144393241167435
26,l,13,1.9969278033794162
27,b,5,0.7680491551459293
28,C,0,0.0
29,-,2,0.30721966205837176
30,"
",3,0.4608294930875576
31,v,3,0.4608294930875576
32,z,2,0.30721966205837176
33,T,0,0.0
34,;,0,0.0
35,A,0,0.0
